concept,field,abstraction,en,es,pt,it,bg
longing,emotion,abstract,longing,añoranza,saudade,nostalgia,копнеж
hope,emotion,abstract,hope,esperanza,esperança,speranza,надежда
joy,emotion,semi-concrete,joy,alegría,alegria,gioia,радост
fear,emotion,semi-concrete,fear,miedo,medo,paura,страх
smile,emotion,concrete,smile,sonrisa,sorriso,sorriso,усмивка
grief,emotion,abstract,grief,duelo,luto,dolore,скръб
shame,emotion,abstract,shame,vergüenza,vergonha,vergogna,срам
tear,emotion,concrete,tear,lágrima,lágrima,lacrima,сълза
rage,emotion,semi-concrete,rage,rabia,raiva,rabbia,гняв
love,emotion,universal,love,amor,amor,amore,любов
road,travel,concrete,road,camino,caminho,strada,път
trip,travel,semi-concrete,trip,viaje,viagem,gita,пътуване
departure,travel,concrete,departure,partida,partida,partenza,заминаване
arrival,travel,concrete,arrival,llegada,chegada,arrivo,пристигане
wandering,travel,abstract,wandering,vagabundeo,errância,vagabondaggio,скитане
destination,travel,semi-concrete,destination,destino,destino,destinazione,местоназначение
border,travel,concrete,border,frontera,fronteira,frontiera,граница
return,travel,semi-concrete,return,regreso,regresso,ritorno,завръщане
exile,travel,very abstract,exile,exilio,exílio,esilio,изгнание
homeland,travel,abstract,homeland,patria,pátria,patria,родина
bread,gastronomy,very concrete,bread,pan,pão,pane,хляб
bitter,gastronomy,semi-abstract,bitter,amargo,amargo,amaro,горчив
feast,gastronomy,semi-abstract,feast,festín,festim,banchetto,пиршество
flavor,gastronomy,semi-abstract,flavor,sabor,sabor,sapore,вкус
spice,gastronomy,concrete,spice,especia,especiaria,spezia,подправка
hunger,gastronomy,semi-concrete,hunger,hambre,fome,fame,глад
cheese,gastronomy,very concrete,cheese,queso,queijo,formaggio,сирене
specialty,gastronomy,abstract,specialty,especialidad,especialidade,specialità,специалитет
delight,gastronomy,very abstract,delight,deleite,deleite,delizia,наслада
olive,gastronomy,very concrete,olive,aceituna,azeitona,oliva,маслина
